date,stock_immediate_equity,stock_pullback_equity,etf_dca_equity,etf_buy_hold_norm
2022-07-18,414010.4274154401,422723.17252271017,361147.98080683005,0.6248366013071895
2022-07-19,420089.51741544006,430824.6125227102,365303.34080683003,0.6320261437908496
2022-07-20,419212.3374154401,432981.1925227102,371725.26080683,0.6431372549019607
2022-07-21,428043.6074154401,444786.1025227101,374747.34080683003,0.6483660130718953
2022-07-24,431632.92741544015,453393.57252271014,381924.78080683004,0.6607843137254902
2022-07-26,434488.92741544003,470004.44252271,379658.2208068301,0.6568627450980392
2022-07-27,436537.01741544006,467129.64252271014,384191.34080683003,0.6647058823529411
2022-07-28,441225.6074154401,477726.5325227101,381547.02080683,0.6601307189542484
2022-07-31,443255.8674154401,469810.57252271025,384569.10080683004,0.665359477124183
2022-08-01,451459.17225635017,483483.48252271017,398122.04085584,0.6718954248366013
2022-08-02,454836.6122563501,483581.7425227102,395411.15085584007,0.6673202614379086
2022-08-03,455944.17225635017,480804.1925227102,395798.42085584,0.6679738562091503
2022-08-04,469267.49225635006,497822.98252271017,400058.39085584,0.6751633986928104
2022-08-07,474541.64225635014,499082.76252271014,417485.54085584,0.7045751633986927
2022-08-08,475244.29225635005,502282.00305491016,424456.40085584007,0.7163398692810458
2022-08-09,473905.26225635014,508547.0030549101,420970.97085584,0.7104575163398692
2022-08-10,473197.38225635013,512618.4630549102,417872.81085584,0.7052287581699346
2022-08-11,478794.13225635013,515016.5630549101,417485.54085584,0.7045751633986927
2022-08-14,494542.54225635005,526611.5730549102,418647.35085584,0.7065359477124183
2022-08-15,501863.5622563501,525433.7030549101,418260.08085584006,0.7058823529411765
2022-08-16,501665.8522563501,523395.0430549102,415549.19085584005,0.7013071895424836
2022-08-17,508456.0422563501,542163.9530549101,412451.03085584,0.696078431372549
2022-08-18,508334.2122563501,552219.4430549102,421358.24085584003,0.7111111111111111
2022-08-21,516759.32225635013,573578.41305491,423294.59085584,0.7143790849673202
