date,momentum_pyramid_equity,annual_top10_dca_equity,etf_dca_equity
2023-01-25,543817.1975934403,763426.8019119003,752329.31086279
2023-01-29,564293.4075934403,792086.8819119001,779608.67086279
2023-01-30,546651.6075934402,773869.2219119002,807740.5108627899
2023-01-31,542355.7775934403,758453.7419119002,790690.9108627901
2023-02-01,545946.2354970704,760938.0513326303,773736.50207527
2023-02-02,540955.9202927904,753620.7415457203,770715.79207527
2023-02-05,527952.4217853904,740083.7720589302,763811.31207527
2023-02-06,539068.4217853902,752709.2720589302,764242.84207527
2023-02-07,547206.8126027202,769003.27205893,779346.39207527
2023-02-08,550081.2626027203,774090.4520589302,793586.88207527
2023-02-09,567090.6326027203,797240.3120589302,796176.06207527
2023-02-12,556588.7726027204,783814.0920589302,827246.2220752701
2023-02-13,557945.3226027203,786489.1820589302,811711.14207527
2023-02-14,559116.7726027203,794421.8020589302,808258.9020752701
2023-02-15,563250.2426027203,795967.2420589302,818615.6220752699
2023-02-16,563446.0626027205,792370.4320589302,822499.39207527
2023-02-19,556091.1826027203,787220.9120589301,821204.8020752701
2023-02-20,536357.9626027204,764745.1120589302,813437.2620752701
2023-02-21,543666.9026027203,771020.9320589302,789703.11207527
2023-02-22,537016.5326027203,761822.3120589302,800059.83207527
2023-02-23,540711.9726027204,771905.4320589302,787976.99207527
2023-02-26,552314.8626027203,806386.5820589301,798333.71207527
2023-02-27,550535.2326027204,802040.6720589302,807827.3720752699
2023-02-28,547721.2326027204,800540.9120589301,802649.0120752701
2023-03-01,560678.6939030604,813994.4530803001,807589.0296983101
2023-03-02,556988.4606589703,809351.0194918702,813267.0396983101
2023-03-05,551983.9740446402,817493.9959864703,800163.9396983101
2023-03-06,552098.9340446403,805203.1159864701,799290.3996983101
2023-03-07,538033.8040446404,789829.4259864702,798416.8596983101
2023-03-08,530628.2040446404,792278.0459864701,780509.2896983101
2023-03-09,539097.4940446403,801878.3959864702,775268.0496983101
2023-03-12,521053.4340446404,782227.1959864702,782256.36969831
2023-03-13,496357.82404464047,752275.8159864701,756923.70969831
2023-03-14,494713.6940446403,748223.6259864701,733338.12969831
2023-03-15,460823.0940446404,710232.4859864701,729843.9696983101
2023-03-16,463220.3140446404,704290.6257073602,700580.37969831
2023-03-19,462733.54404464044,691290.8657073602,698833.2996983101
2023-03-20,478503.70404464036,716425.9357073602,697522.9896983101
2023-03-21,494773.3740446404,736094.6857073603,708879.00969831
2023-03-22,487463.01404464035,724773.9057073601,728096.8896983102
2023-03-23,497421.98404464044,741725.3257073602,724602.7296983101
2023-03-26,519918.1340446404,766016.9357073603,742073.5296983101
2023-03-27,519256.3740446404,766597.2557073602,759107.5596983101
2023-03-28,522215.30404464045,765322.2757073602,757360.4796983101
2023-03-29,539994.8240446404,786289.1957073603,755176.62969831
2023-03-30,533897.7040446403,784093.4157073604,779198.9796983101
2023-04-02,553845.6300837405,799417.4675340601,788982.2494301901
2023-04-03,574478.4704390405,821235.4042037303,801807.4994301901
2023-04-04,570255.9578021504,815417.7442037301,819497.4994301901
2023-04-05,562232.9123413104,811122.7242037302,819055.2494301901
2023-04-06,553949.2863729304,794377.4242037302,819939.7494301901
2023-04-09,548556.8063729304,785809.2042037302,804903.2494301901
2023-04-10,550540.5663729303,789156.2942037302,803134.2494301901
