date,symbol,holding_name,shares,close,value,weight,rank,score
2021-06-01,ORWE,Oriental Weavers,3274.0,7.31,23932.94,0.09680023766422224,1.0,0.7487901234567901
2021-06-01,PHDC,Palm Hills Development Company,6318.0,1.68,10614.24,0.04293082900074518,3.0,0.6718518518518519
2021-06-01,RAYA,Raya Holding For Financial Investments,14037.0,1.57,22038.09,0.08913624275435945,11.0,0.4709876543209877
2021-06-01,VLMR,Egyptian Kuwaiti Holding,20118.0,1.69,33999.42,0.13751557211298365,6.0,0.6344197530864196
2021-07-04,ADIB,Abu Dhabi Islamic Bank- Egypt,1245.0,8.02,9984.9,0.036480413775227795,12.0,0.526962962962963
2021-07-04,ARCC,Arabian Cement Company,1118.0,5.38,6014.84,0.02197556830732317,3.0,0.7212592592592593
2021-07-04,EGAL,Egypt Aluminum,333.0,17.29,5757.57,0.02103561737622192,4.0,0.7124197530864198
2021-07-04,ETEL,Telecom Egypt,5501.0,13.48,74153.48,0.2709240586558782,2.0,0.7267654320987655
2021-07-04,GBCO,GB Corp,5085.0,3.45,17543.25,0.06409528577775091,7.0,0.638716049382716
2021-07-04,HRHO,EFG Holding,638.0,7.52,4797.759999999999,0.017528895631827746,10.0,0.5758765432098766
2021-07-04,MCQE,Misr Cement - Qena,2005.0,9.03,18105.149999999998,0.06614822015869617,5.0,0.6880740740740741
2021-07-04,ORHD,Orascom Development Egypt,6688.0,5.55,37118.4,0.13561423656465416,9.0,0.6239012345679013
2021-07-04,ORWE,Oriental Weavers,3995.0,8.49,33917.55,0.12391974463860204,1.0,0.7361234567901235
2021-07-04,PHDC,Palm Hills Development Company,6319.0,1.81,11437.390000000001,0.04178717059846895,8.0,0.6249135802469137
2021-07-04,RAYA,Raya Holding For Financial Investments,14037.0,1.5,21055.5,0.07692749574300281,6.0,0.6728395061728395
2021-07-04,VLMR,Egyptian Kuwaiti Holding,20118.0,1.68,33798.24,0.12348383860373714,11.0,0.5291358024691358
2021-08-01,ADIB,Abu Dhabi Islamic Bank- Egypt,1245.0,9.06,11279.7,0.03710512574691164,10.0,0.5603478260869565
2021-08-01,ARCC,Arabian Cement Company,4787.0,5.47,26184.89,0.08613647846299538,3.0,0.69568115942029
