entry_date,exit_date,exit_year,symbol,shares,entry_price,exit_price,entry_value,exit_value,total_fees,pnl_egp,return_pct,hold_days,exit_reason
2023-08-01,2023-08-02,2023,ORHD,57991.0,10.89,10.69,631521.99,619923.7899999999,10.0,-11608.20000000007,-0.018381162141621325,1,stop
2023-08-02,2023-08-03,2023,GBCO,89643.0,6.79,6.39,608675.97,572818.77,10.0,-35867.19999999995,-0.05892610705407786,1,stop
2023-08-02,2023-08-06,2023,ORAS,5030.0,121.0,118.05,608630.0,593791.5,10.0,-14848.5,-0.02439639521223722,4,stop
2023-08-07,2023-08-20,2023,GBCO,88379.0,6.6,6.41,583301.4,566509.39,10.0,-16802.01000000001,-0.02880477567192818,13,stop
2023-07-17,2023-08-22,2023,HELI,57816.0,10.75,12.84,621522.0,742357.44,10.0,120825.43999999994,0.1944009512056595,36,target
2023-08-07,2023-08-30,2023,ORHD,53464.0,10.91,10.34,583292.24,552817.76,10.0,-30484.47999999998,-0.052262342266526034,23,stop
2023-08-28,2023-08-31,2023,ORAS,5320.0,123.0,119.0,654360.0,633080.0,10.0,-21290.0,-0.032535358706532284,3,stop
2023-09-11,2023-09-25,2023,HELI,50350.0,12.25,11.75,616787.5,591612.5,10.0,-25185.0,-0.04083220856284731,14,stop
2023-09-11,2023-09-26,2023,ORAS,5182.0,119.01,131.98,616709.8200000001,683920.36,10.0,67200.53999999992,0.10896533992810471,15,target
2023-10-02,2023-10-03,2023,EAST,34203.0,18.54,18.06,634123.62,617706.1799999999,10.0,-16427.44000000006,-0.02590553317085745,1,stop
2023-10-16,2023-10-18,2023,ORWE,39538.0,15.9,18.52,628654.2000000001,732243.76,10.0,103579.55999999994,0.16476265677810797,2,target
2023-10-11,2023-10-19,2023,EAST,34655.0,18.14,20.29,628641.7000000001,703149.95,10.0,74498.24999999988,0.11850575211800185,8,target
2023-10-18,2023-10-19,2023,ORWE,39537.0,18.52,17.6,732225.24,695851.2000000001,10.0,-36384.03999999992,-0.049689343614106846,1,stop
2023-10-11,2023-10-22,2023,TMGH,47625.0,13.2,15.73,628650.0,749141.25,10.0,120481.25,0.1916492352721286,11,target
2023-10-31,2023-11-01,2023,EAST,34839.0,20.79,19.55,724302.8099999999,681102.4500000001,10.0,-43210.35999999987,-0.059657454197546034,1,stop
2023-10-29,2023-11-02,2023,HELI,60969.0,11.88,11.64,724311.7200000001,709679.16,10.0,-14642.560000000056,-0.020215686861405124,4,stop
2023-11-07,2023-11-13,2023,ORAS,3951.0,177.25,168.02,700314.75,663847.02,10.0,-36477.72999999998,-0.052087250145379994,6,stop
2023-11-06,2023-12-03,2023,EAST,35552.0,19.7,19.25,700374.4,684376.0,10.0,-16008.400000000023,-0.022856754496205944,27,stop
2023-11-13,2023-12-04,2023,ABUK,8132.0,81.64,77.21,663896.48,627871.72,10.0,-36034.76000000001,-0.054277270175689334,21,stop
2023-12-05,2023-12-10,2023,TMGH,27207.0,24.3,23.18,661130.1,630658.26,10.0,-30481.839999999967,-0.04610531190977452,5,stop
2023-10-19,2023-12-12,2023,ORWE,39744.0,17.6,17.1,699494.4,679622.4,10.0,-19882.0,-0.028423183779714464,54,max_hold
2023-12-04,2023-12-24,2023,PHDC,222602.0,2.97,2.81,661127.9400000001,625511.62,10.0,-35626.320000000065,-0.05388677200080223,20,stop
2023-12-19,2023-12-25,2023,ORAS,3628.0,180.54,171.87,654999.12,623544.36,10.0,-31464.76000000001,-0.04803749936717957,6,stop
2023-12-14,2024-01-17,2024,TMGH,28129.0,23.29,28.3,655124.41,796050.7000000001,10.0,140916.29000000004,0.21509687681400233,34,target
2023-12-28,2024-01-23,2024,ABUK,7560.0,82.63,94.0,624682.7999999999,710640.0,10.0,85947.20000000007,0.1375842460826033,26,target
2024-01-17,2024-01-28,2024,TMGH,28484.0,28.3,34.75,806097.2000000001,989819.0,10.0,183711.79999999993,0.22790137528467225,11,target
2023-12-26,2024-01-30,2024,ORAS,3471.0,179.9,214.5,624432.9,744529.5,10.0,120086.59999999998,0.19231151728618645,35,target
