symbol,sample,rule,horizon_days,samples,days_on,coverage,avg_excess_on,hit_rate_on,avg_excess_off,hit_rate_off,edge_avg_excess,edge_hit_rate
ARCC,month_end,rel_mom_126_gt_0,21,131,38,0.2900763358778626,0.017685840068546677,0.5526315789473685,-0.015830951537937933,0.44086021505376344,0.03351679160648461,0.11177136389360504
ARCC,month_end,ratio_gt_sma50,21,131,50,0.3816793893129771,0.008233603297556126,0.48,-0.014961688090139015,0.4691358024691358,0.02319529138769514,0.010864197530864206
ARCC,month_end,ratio_gt_sma200,21,131,33,0.25190839694656486,0.012855483444380682,0.5151515151515151,-0.012494362490694043,0.45918367346938777,0.025349845935074725,0.05596784168212737
ARCC,month_end,sma50_gt_sma200,21,131,32,0.24427480916030533,0.018039399712636916,0.5,-0.013913912739675101,0.46464646464646464,0.03195331245231202,0.03535353535353536
ARCC,month_end,rel_mom_63_volume_1_1,21,131,16,0.12213740458015267,-0.015425849817433425,0.3125,-0.004812199768213208,0.4956521739130435,-0.010613650049220217,-0.1831521739130435
ARCC,month_end,residual_strength_63_gt_0,21,131,60,0.4580152671755725,0.017940097698402435,0.4666666666666667,-0.026431301863769022,0.4788732394366197,0.044371399562171454,-0.012206572769953017
ARCC,month_end,relative_breakout_63,21,131,6,0.04580152671755725,-0.042727549186280044,0.5,-0.004350810202446187,0.472,-0.038376738983833855,0.028000000000000025
ARCC,month_end,rel_mom_63_gt_0,63,128,47,0.3671875,-0.0057922763857539295,0.425531914893617,-0.05289576516194168,0.3950617283950617,0.04710348877618775,0.03047018649855532
ARCC,month_end,rel_mom_126_gt_0,63,128,37,0.2890625,0.050441237564229996,0.5405405405405406,-0.07058373360576067,0.3516483516483517,0.12102497116999067,0.1888921888921889
ARCC,month_end,ratio_gt_sma50,63,128,50,0.390625,-0.020841760809605488,0.4,-0.045060332407274827,0.41025641025641024,0.02421857159766934,-0.01025641025641022
ARCC,month_end,ratio_gt_sma200,63,128,32,0.25,0.011792500236884638,0.46875,-0.05139743724820853,0.3854166666666667,0.06318993748509316,0.08333333333333331
ARCC,month_end,sma50_gt_sma200,63,128,30,0.234375,0.028532852159334324,0.5333333333333333,-0.055232444214568785,0.3673469387755102,0.0837652963739031,0.1659863945578231
ARCC,month_end,rel_mom_63_volume_1_1,63,128,16,0.125,0.033037156849668584,0.5625,-0.045405254266450076,0.38392857142857145,0.07844241111611866,0.17857142857142855
ARCC,month_end,residual_strength_63_gt_0,63,128,57,0.4453125,6.500020383346399e-05,0.43859649122807015,-0.06423237999811575,0.38028169014084506,0.06429738020194921,0.05831480108722509
ARCC,month_end,relative_breakout_63,63,128,6,0.046875,-0.12913503804476367,0.3333333333333333,-0.030999866721140402,0.4098360655737705,-0.09813517132362327,-0.07650273224043719
ARCC,month_end,rel_mom_63_gt_0,126,125,45,0.36,0.11377209446993138,0.4888888888888889,-0.09609583553427581,0.35,0.20986793000420717,0.1388888888888889
ARCC,month_end,rel_mom_126_gt_0,126,125,34,0.272,0.1801802156166612,0.47058823529411764,-0.09553901013803993,0.37362637362637363,0.27571922575470115,0.09696186166774401
ARCC,month_end,ratio_gt_sma50,126,125,48,0.384,0.09478323484937973,0.4375,-0.09243529693981012,0.37662337662337664,0.18721853178918985,0.06087662337662336
ARCC,month_end,ratio_gt_sma200,126,125,29,0.232,0.13084050381897294,0.3793103448275862,-0.06627392919109758,0.40625,0.19711443301007053,-0.026939655172413812
ARCC,month_end,sma50_gt_sma200,126,125,27,0.216,0.21615085665621583,0.48148148148148145,-0.08575505838074471,0.37755102040816324,0.3019059150369605,0.10393046107331821
ARCC,month_end,rel_mom_63_volume_1_1,126,125,14,0.112,0.25837178238443886,0.6428571428571429,-0.05572186977457024,0.36936936936936937,0.3140936521590091,0.27348777348777353
ARCC,month_end,residual_strength_63_gt_0,126,125,55,0.44,0.10693825505420436,0.4909090909090909,-0.1207075231368056,0.32857142857142857,0.22764577819100995,0.16233766233766234
ARCC,month_end,relative_breakout_63,126,125,6,0.048,-0.032561609449057706,0.16666666666666666,-0.019937419621015195,0.4117647058823529,-0.01262418982804251,-0.24509803921568626
BFTH,month_end,rel_mom_63_gt_0,21,131,39,0.29770992366412213,0.1080701808539277,0.41025641025641024,-0.024529600321607288,0.3804347826086957,0.13259978117553498,0.029821627647714566
