rebalance_date,selection_date,candidates_after_gates,fundamental_rows_available,fundamental_coverage_ratio,revenue_ttm_coverage,net_income_ttm_coverage,operating_cf_ttm_coverage,earnings_yield_coverage,pe_ratio_coverage,book_to_price_coverage,pb_ratio_coverage,roe_coverage,roa_coverage,cash_conversion_coverage,leverage_inverse_coverage,revenue_growth_coverage,net_income_growth_coverage,positive_earnings_count_4p_coverage,margin_stability_4p_coverage
2022-03-01,2022-02-28,24,22,0.9166666666666666,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.75,0.9166666666666666,0.875,0.9166666666666666,0.9166666666666666,0.75,0.9166666666666666,0.0,0.875,0.9166666666666666,0.0
2022-04-03,2022-03-31,25,24,0.96,0.0,0.96,0.96,0.96,0.84,0.96,0.92,0.96,0.96,0.84,0.96,0.0,0.88,0.96,0.0
2022-05-08,2022-04-28,26,25,0.9615384615384616,0.0,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.8461538461538461,0.9615384615384616,0.9230769230769231,0.9615384615384616,0.9615384615384616,0.8461538461538461,0.9615384615384616,0.0,0.8846153846153846,0.9615384615384616,0.0
2022-06-01,2022-05-31,26,25,0.9615384615384616,0.0,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.8461538461538461,0.9615384615384616,0.9230769230769231,0.9615384615384616,0.9615384615384616,0.8461538461538461,0.9615384615384616,0.0,0.9230769230769231,0.9615384615384616,0.0
2022-07-03,2022-06-29,25,24,0.96,0.0,0.96,0.96,0.96,0.84,0.96,0.92,0.96,0.96,0.84,0.96,0.0,0.92,0.96,0.0
2022-08-01,2022-07-31,23,22,0.9565217391304348,0.0,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.8260869565217391,0.9565217391304348,0.9130434782608695,0.9565217391304348,0.9565217391304348,0.8260869565217391,0.9565217391304348,0.0,0.9130434782608695,0.9565217391304348,0.0
2022-09-01,2022-08-31,23,22,0.9565217391304348,0.0,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.8260869565217391,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.8260869565217391,0.9565217391304348,0.0,0.9130434782608695,0.9565217391304348,0.0
2022-10-02,2022-09-29,24,24,1.0,0.0,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,0.0,0.9583333333333334,1.0,0.0
2022-11-01,2022-10-31,24,24,1.0,0.0,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,0.0,0.9583333333333334,1.0,0.0
2022-12-01,2022-11-30,24,24,1.0,0.0,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,0.0,1.0,1.0,0.0
2023-01-02,2022-12-29,24,24,1.0,0.0,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,0.0,1.0,1.0,0.0
2023-02-01,2023-01-31,26,26,1.0,0.0,1.0,1.0,1.0,0.9230769230769231,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9230769230769231,0.9615384615384616,0.0,1.0,1.0,0.0
2023-03-01,2023-02-28,26,26,1.0,0.0,1.0,1.0,1.0,0.9230769230769231,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9230769230769231,0.9615384615384616,0.0,1.0,1.0,0.0
2023-04-02,2023-03-30,26,26,1.0,0.0,1.0,1.0,1.0,0.9230769230769231,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9230769230769231,0.9615384615384616,0.0,1.0,1.0,0.0
2023-05-01,2023-04-30,26,26,1.0,0.0,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,0.9230769230769231,1.0,0.0,1.0,1.0,0.0
2023-06-01,2023-05-31,26,26,1.0,0.0,1.0,1.0,1.0,0.9615384615384616,1.0,1.0,1.0,1.0,0.9615384615384616,1.0,0.0,1.0,1.0,0.0
2023-07-04,2023-06-26,26,26,1.0,0.0,1.0,1.0,1.0,0.9615384615384616,1.0,1.0,1.0,1.0,0.9615384615384616,1.0,0.0,1.0,1.0,0.0
2023-08-01,2023-07-31,25,25,1.0,0.0,1.0,1.0,1.0,0.92,1.0,1.0,1.0,1.0,0.92,1.0,0.0,1.0,1.0,0.0
2023-09-03,2023-08-31,25,25,1.0,0.0,1.0,1.0,1.0,0.92,1.0,0.96,1.0,1.0,0.92,1.0,0.0,1.0,1.0,0.0
2023-10-01,2023-09-27,24,24,1.0,0.0,1.0,1.0,1.0,0.9166666666666666,1.0,0.9583333333333334,1.0,1.0,0.9166666666666666,1.0,0.0,1.0,1.0,0.0
2023-11-01,2023-10-31,24,24,1.0,0.0,1.0,1.0,1.0,0.9166666666666666,1.0,0.9583333333333334,1.0,1.0,0.9166666666666666,1.0,0.0,1.0,1.0,0.0
2023-12-03,2023-11-30,25,25,1.0,0.0,1.0,1.0,1.0,0.88,1.0,1.0,1.0,1.0,0.88,1.0,0.0,1.0,1.0,0.0
2024-01-02,2023-12-31,25,25,1.0,0.0,1.0,1.0,1.0,0.88,1.0,1.0,1.0,1.0,0.88,1.0,0.0,1.0,1.0,0.0
2024-02-01,2024-01-31,25,25,1.0,0.0,1.0,1.0,1.0,0.88,1.0,1.0,1.0,1.0,0.88,1.0,0.0,1.0,1.0,0.0
2024-03-03,2024-02-29,25,25,1.0,0.0,1.0,1.0,1.0,0.92,1.0,1.0,1.0,1.0,0.92,1.0,0.0,1.0,1.0,0.0
2024-04-01,2024-03-31,25,25,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
2024-05-01,2024-04-30,25,25,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
2024-06-02,2024-05-30,25,25,1.0,0.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.96,1.0,0.0,1.0,1.0,0.0
2024-07-01,2024-06-27,25,25,1.0,0.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.96,1.0,0.0,1.0,1.0,0.0
2024-08-01,2024-07-31,24,24,1.0,0.0,1.0,1.0,1.0,0.9583333333333334,1.0,1.0,1.0,1.0,0.9583333333333334,1.0,0.0,1.0,1.0,0.0
2024-09-01,2024-08-29,24,24,1.0,0.0,1.0,1.0,1.0,0.9583333333333334,1.0,1.0,1.0,1.0,0.9583333333333334,1.0,0.0,1.0,1.0,0.0
2024-10-01,2024-09-30,24,24,1.0,0.0,1.0,1.0,1.0,0.9583333333333334,1.0,1.0,1.0,1.0,0.9583333333333334,1.0,0.0,1.0,1.0,0.0
2024-11-03,2024-10-31,24,24,1.0,0.0,1.0,1.0,1.0,0.9583333333333334,1.0,1.0,1.0,1.0,0.9583333333333334,1.0,0.0,1.0,1.0,0.0
2024-12-01,2024-11-28,24,24,1.0,0.0,1.0,1.0,1.0,0.9583333333333334,1.0,1.0,1.0,1.0,0.9583333333333334,1.0,0.0,1.0,1.0,0.0
2025-01-02,2024-12-31,24,24,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
2025-02-02,2025-01-30,27,27,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
2025-03-02,2025-02-27,26,26,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
2025-04-03,2025-03-27,26,26,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
2025-05-04,2025-04-30,27,27,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
2025-06-01,2025-05-29,0,0,,,,,,,,,,,,,,,,
2025-07-01,2025-06-30,27,27,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
2025-08-03,2025-07-31,27,27,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
2025-09-01,2025-08-31,27,27,1.0,0.0,1.0,1.0,1.0,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.37037037037037035,1.0,0.3333333333333333,0.0,1.0,1.0,0.0
2025-10-01,2025-09-30,27,27,1.0,0.0,1.0,1.0,1.0,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.37037037037037035,1.0,0.3333333333333333,0.0,1.0,1.0,0.0
2025-11-02,2025-10-30,27,27,1.0,0.0,1.0,1.0,1.0,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.37037037037037035,1.0,0.3333333333333333,0.0,1.0,1.0,0.0
2025-12-01,2025-11-30,26,26,1.0,0.0,1.0,1.0,1.0,1.0,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.34615384615384615,1.0,0.3076923076923077,0.0,1.0,1.0,0.0
2026-01-04,2025-12-31,27,27,1.0,0.0,1.0,1.0,1.0,1.0,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.3333333333333333,1.0,0.2962962962962963,0.0,1.0,1.0,0.0
2026-02-01,2026-01-28,27,27,1.0,0.0,1.0,1.0,1.0,1.0,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.3333333333333333,1.0,0.2962962962962963,0.0,1.0,1.0,0.0
2026-03-01,2026-02-26,27,27,1.0,0.0,1.0,1.0,1.0,1.0,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.3333333333333333,1.0,0.2962962962962963,0.0,1.0,1.0,0.0
2026-04-01,2026-03-31,27,27,1.0,0.0,0.9629629629629629,0.8888888888888888,0.9629629629629629,0.9629629629629629,0.6666666666666666,0.6666666666666666,0.6296296296296297,0.4074074074074074,0.8518518518518519,0.4074074074074074,0.0,0.9629629629629629,1.0,0.0
