date,symbol,holding_name,action,shares,price,value,fee,fixed_fee,bps_fee
2015-05-03,COMI,Commercial International Bank-Egypt (CIB),BUY,22.0,17.658824999999997,388.49414999999993,5.7769883,5.0,0.7769882999999999
2015-05-03,EAST,Eastern Company,BUY,124.0,3.22161,399.47964,5.79895928,5.0,0.79895928
2015-05-03,EFID,Edita Food Industries (EDITA),BUY,31.0,12.676335,392.966385,5.7859327700000005,5.0,0.7859327700000001
2015-05-03,EGAL,Egypt Aluminum,BUY,90.0,4.412205,397.09845,5.7941969,5.0,0.7941969000000001
2015-05-03,EGCH,Egyptian Chemical Industries (KIMA),BUY,122.0,3.26163,397.91886,5.79583772,5.0,0.79583772
2015-05-03,ETEL,Telecom Egypt,BUY,40.0,9.874934999999999,394.99739999999997,5.7899948,5.0,0.7899948
2015-05-03,GBCO,GB Corp,BUY,81.0,4.932465,399.52966499999997,5.79905933,5.0,0.79905933
2015-05-03,HELI,Heliopolis Housing,BUY,78.0,5.102549999999999,397.99889999999994,5.7959978,5.0,0.7959977999999999
2015-05-03,HRHO,EFG Holding,BUY,71.0,5.58279,396.37809,5.79275618,5.0,0.79275618
2015-05-03,JUFO,Juhayna Food Industries,BUY,42.0,9.32466,391.63572,5.78327144,5.0,0.78327144
2015-05-03,MCQE,Misr Cement - Qena,BUY,13.0,28.99449,376.92837,5.75385674,5.0,0.7538567399999999
2015-05-03,OIH,Orascom Investment Holding,BUY,109.0,3.6718349999999997,400.230015,5.80046003,5.0,0.80046003
2015-05-03,ORAS,Orascom Construction PLC,BUY,3.0,112.326135,336.97840499999995,5.67395681,5.0,0.67395681
2015-05-03,ORHD,Orascom Development Egypt,BUY,163.0,2.44122,397.91886,5.79583772,5.0,0.79583772
2015-05-03,ORWE,Oriental Weavers,BUY,56.0,7.053525,394.99739999999997,5.7899948,5.0,0.7899948
2015-05-03,PHDC,Palm Hills Development Company,BUY,160.0,2.5012499999999998,400.19999999999993,5.8004,5.0,0.8003999999999999
2015-05-03,RAYA,Raya Holding For Financial Investments,BUY,3333.0,0.12005999999999999,400.15997999999996,5.8003199599999995,5.0,0.8003199599999999
2015-05-03,TMGH,T M G Holding,BUY,39.0,10.06503,392.53617,5.78507234,5.0,0.78507234
2015-05-03,VLMR,Egyptian Kuwaiti Holding,BUY,392.0,1.02051,400.03992,5.80007984,5.0,0.80007984
2015-06-01,ABUK,Abou Kir Fertilizers,BUY,37.0,10.70535,396.09794999999997,5.7921959,5.0,0.7921959
2015-06-01,ADIB,Abu Dhabi Islamic Bank- Egypt,BUY,83.0,4.832415,401.090445,5.80218089,5.0,0.80218089
2015-06-01,AMOC,Alexandria Mineral Oils Company,BUY,130.0,3.0715349999999995,399.29954999999995,5.7985991,5.0,0.7985990999999999
2015-06-01,ARCC,Arabian Cement Company,BUY,24.0,16.70835,401.0004,5.8020008,5.0,0.8020008000000001
2015-06-01,BFTH,Beltone Holding,BUY,265.0,1.5107549999999998,400.35007499999995,5.80070015,5.0,0.8007001499999999
2015-06-01,CCAP,QALA For Financial Investments,BUY,198.0,2.02101,400.15998,5.80031996,5.0,0.80031996
2015-06-01,COMI,Commercial International Bank-Egypt (CIB),BUY,22.0,17.958975,395.09745,5.7901949,5.0,0.7901949
2015-06-01,EAST,Eastern Company,BUY,112.0,3.5517749999999997,397.79879999999997,5.7955976,5.0,0.7955975999999999
2015-06-01,EFID,Edita Food Industries (EDITA),BUY,28.0,14.027009999999999,392.75627999999995,5.78551256,5.0,0.7855125599999999
2015-06-01,EGAL,Egypt Aluminum,BUY,88.0,4.552275,400.6002,5.8012004,5.0,0.8012003999999999
2015-06-01,EGCH,Egyptian Chemical Industries (KIMA),BUY,122.0,3.2816399999999994,400.3600799999999,5.80072016,5.0,0.8007201599999999
2015-06-01,ETEL,Telecom Egypt,BUY,47.0,8.434215,396.408105,5.79281621,5.0,0.79281621
2015-06-01,GBCO,GB Corp,BUY,78.0,5.102549999999999,397.99889999999994,5.7959978,5.0,0.7959977999999999
2015-06-01,HELI,Heliopolis Housing,BUY,79.0,5.032515,397.568685,5.79513737,5.0,0.7951373700000001
2015-06-01,HRHO,EFG Holding,BUY,66.0,6.013005,396.85832999999997,5.79371666,5.0,0.79371666
2015-06-01,JUFO,Juhayna Food Industries,BUY,41.0,9.734865,399.129465,5.79825893,5.0,0.79825893
2015-06-01,MCQE,Misr Cement - Qena,BUY,14.0,28.564275,399.89984999999996,5.7997996999999994,5.0,0.7997996999999999
2015-06-01,OIH,Orascom Investment Holding,BUY,105.0,3.8219099999999995,401.30054999999993,5.8026010999999995,5.0,0.8026010999999998
2015-06-01,ORAS,Orascom Construction PLC,BUY,3.0,103.97196,311.91588,5.62383176,5.0,0.6238317600000001
2015-06-01,ORHD,Orascom Development Egypt,BUY,182.0,2.2011000000000003,400.60020000000003,5.8012004,5.0,0.8012004
2015-06-01,ORWE,Oriental Weavers,BUY,55.0,7.213604999999999,396.748275,5.79349655,5.0,0.79349655
2015-06-01,PHDC,Palm Hills Development Company,BUY,141.0,2.84142,400.64022,5.80128044,5.0,0.80128044
2015-06-01,RAYA,Raya Holding For Financial Investments,BUY,3646.0,0.110055,401.26053,5.80252106,5.0,0.80252106
2015-06-01,TMGH,T M G Holding,BUY,41.0,9.58479,392.97639,5.78595278,5.0,0.78595278
