date,relative_ic_equity,etf_dca_equity,etf_buy_hold_norm
2023-06-05,911117.0128244006,868698.60808563,1.2549019607843137
2023-06-06,925027.8928244006,863269.32808563,1.2470588235294116
2023-06-07,918733.8228244003,870508.36808563,1.2575163398692808
2023-06-08,925996.7528244004,863721.76808563,1.2477124183006536
2023-06-11,938725.1928244005,872318.1280856301,1.2601307189542483
2023-06-12,927080.8928244004,882724.2480856301,1.2751633986928106
2023-06-13,932402.9528244004,880914.48808563,1.272549019607843
2023-06-14,932117.2428244004,889058.40808563,1.284313725490196
2023-06-15,923060.6028244005,889058.40808563,1.284313725490196
2023-06-18,928674.9428244006,889510.8480856301,1.2849673202614378
2023-06-19,915840.4628244005,896749.88808563,1.2954248366013073
2023-06-20,910411.6828244006,894940.1280856301,1.29281045751634
2023-06-21,895916.9328244006,891320.60808563,1.287581699346405
2023-06-22,895122.6128244005,880914.48808563,1.272549019607843
2023-06-25,884322.8528244004,881366.9280856301,1.2732026143790849
2023-06-26,900103.1728244006,860554.6880856301,1.2431372549019608
2023-07-04,904993.1353905005,888689.3728575301,1.2692810457516341
2023-07-05,903795.8253905005,878621.95285753,1.2549019607843137
2023-07-06,897214.5753905006,874503.46285753,1.2490196078431373
2023-07-09,865477.8853905005,860775.1628575299,1.2294117647058822
2023-07-10,887449.2353905004,833318.5628575301,1.1901960784313725
2023-07-11,898167.6353905007,853453.4028575299,1.218954248366013
2023-07-12,896535.9453905005,863063.21285753,1.2326797385620913
2023-07-13,902548.8253905004,862605.6028575301,1.2320261437908497
2023-07-16,904033.0953905004,872215.4128575299,1.245751633986928
2023-07-17,913085.5353905004,872215.4128575299,1.245751633986928
2023-07-18,918763.7453905004,880452.3928575299,1.2575163398692808
2023-07-19,920025.7653905004,885028.49285753,1.2640522875816993
2023-07-24,911449.1853905004,883655.6628575299,1.2620915032679738
2023-07-25,902702.7053905004,882282.8328575301,1.2601307189542483
2023-07-26,900052.9453905005,878621.95285753,1.2549019607843137
2023-07-27,895129.4753905004,874503.46285753,1.2490196078431373
2023-07-30,908231.8353905005,871757.8028575301,1.2450980392156863
2023-07-31,915256.6653905003,882282.8328575301,1.2601307189542483
2023-08-01,918834.4094110405,894256.3253825301,1.2627450980392156
2023-08-02,907068.0494110405,889164.8653825301,1.2555555555555555
2023-08-03,905092.3194110405,885924.8453825301,1.2509803921568627
2023-08-06,914321.1394110407,885924.8453825301,1.2509803921568627
2023-08-07,922507.3894110406,897959.20538253,1.2679738562091503
2023-08-08,918081.5494110405,905364.96538253,1.2784313725490195
2023-08-09,919377.0594110405,900273.50538253,1.2712418300653594
2023-08-10,914164.6494110405,901199.22538253,1.272549019607843
2023-08-13,914617.7494110403,898422.0653825301,1.268627450980392
2023-08-14,919288.6294110406,905827.8253825301,1.2790849673202613
2023-08-15,919152.1694110406,907679.26538253,1.2816993464052286
2023-08-16,922574.1794110405,910919.2853825301,1.2862745098039214
2023-08-17,914350.2694110406,916010.74538253,1.2934640522875815
2023-08-20,919371.4594110405,910919.2853825301,1.2862745098039214
2023-08-21,917560.7194110405,914159.3053825301,1.2908496732026142
2023-08-22,928753.9494110404,909067.8453825301,1.2836601307189541
2023-08-23,929155.0594110405,923879.3653825301,1.3045751633986928
2023-08-24,935742.5494110405,919713.6253825302,1.2986928104575164
2023-08-27,949142.8394110404,923416.50538253,1.3039215686274508
2023-08-28,949419.2594110406,938690.8853825302,1.3254901960784313
2023-08-29,949203.1494110404,941930.9053825302,1.3300653594771241
2023-08-30,955589.4894110406,944245.20538253,1.3333333333333333
2023-08-31,950349.1294110405,953965.26538253,1.3470588235294116
2023-09-03,953230.7555262805,966849.5064069302,1.3509803921568628
2023-09-04,958822.9155262808,959365.5064069302,1.3405228758169936
2023-09-05,957423.7755262806,968720.50640693,1.3535947712418301
2023-09-06,972326.8555262806,975269.0064069302,1.3627450980392157
2023-09-07,979831.1355262806,984624.00640693,1.3758169934640523
2023-09-10,987828.2555262805,992108.00640693,1.3862745098039215
2023-09-11,973255.9555262807,1002398.50640693,1.4006535947712417
2023-09-12,970735.2755262805,986962.7564069302,1.3790849673202614
2023-09-13,980601.6055262806,980414.25640693,1.3699346405228758
2023-09-14,977709.4155262806,1002866.2564069302,1.4013071895424838
2023-09-17,983204.1855262805,1000527.50640693,1.3980392156862744
2023-09-18,984012.3755262805,1006608.25640693,1.4065359477124182
2023-09-19,976402.2655262805,1010818.00640693,1.4124183006535946
2023-09-20,974024.0055262805,1021108.5064069299,1.4267973856209148
2023-09-21,991127.7055262806,1013156.75640693,1.4156862745098038
2023-09-24,989721.8555262805,1027657.00640693,1.4359477124183004
2023-09-25,992840.2255262806,1034673.25640693,1.445751633986928
